,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
0,60660,Diesel,Manual,1,2.79,Maruti,Swift,10
1,150000,Petrol,Manual,2,3.57,Maruti,Swift Dzire,6
2,48700,Diesel,Manual,2,11.63,Mahindra,XUV500,4
3,55800,Petrol,Manual,3,1.46,Maruti,OMNI E,10
4,49320,Petrol,Manual,1,1.79,Volkswagen,Vento,15
5,99790,Petrol,Manual,1,1.65,Maruti,Omni,9
6,86550,Petrol,Manual,1,1.5,Maruti,OMNI E,12
7,150000,Diesel,Manual,1,4.77,Tata,Hexa,8
8,47760,Petrol,Manual,1,9.87,Hyundai,Creta,5
9,15570,Electric,Auto,1,10.5,Tata,PUNCH EV,1
10,120000,Diesel,Manual,5,2.31,Hyundai,i20,14
11,96290,Petrol,Manual,3,1.41,Maruti,Alto 800,12
12,64530,Petrol,Manual,3,2.52,Maruti,Wagon R 1.0,14
13,92050,Petrol,Auto,3,2.23,Maruti,A Star,12
14,150000,Diesel,Manual,3,5.32,Maruti,Ciaz,10
15,140000,Petrol,Manual,2,4.1,Volkswagen,Polo,9
16,150000,Diesel,Manual,1,1.0,Tata,Indigo ECS,15
17,99150,Petrol,Manual,2,5.18,Maruti,Wagon R 1.0,8
18,140000,Diesel,Manual,3,5.14,Hyundai,Verna,10
19,120000,Petrol,Manual,3,6.19,Maruti,Ertiga,10
20,150000,Diesel,Manual,1,11.14,Hyundai,VENUE,5
21,99170,Petrol,Manual,4,3.21,Hyundai,Verna,12
22,100000,Diesel,Manual,1,8.5,Hyundai,Creta,8
23,120000,Petrol,Manual,2,2.5,Maruti,Wagon R 1.0,13
24,79290,Petrol,Auto,2,6.78,Honda,City,10
25,290000,Diesel,Manual,1,6.11,Honda,BR-V,9
26,72020,Petrol,Manual,1,8.5,Maruti,Dzire,3
27,68520,Petrol,Manual,1,5.5,Ford,FREESTYLE,4
28,110000,Diesel,Auto,3,5.09,BMW,X1,13
29,220000,Diesel,Auto,4,5.67,Hyundai,Santa Fe,11
30,62670,Diesel,Manual,4,5.65,Maruti,Vitara Brezza,8
31,190000,Diesel,Manual,2,1.69,Maruti,Ritz,14
32,110000,Petrol,Manual,3,1.99,Renault,Kwid,5
33,150000,Diesel,Manual,4,2.76,Maruti,Swift Dzire,11
34,53970,Petrol,Manual,2,4.2,Hyundai,Elite i20,8
